Max Connection,Mean (s),Median (s),Min (s),Max (s)
10,12.04420542087,11.76495236617,11.13261502317,13.33893492117
20,6.52144425707,6.53465773117,5.53100086917,6.93016539317
30,4.72316604067,4.73300261067,3.78523025517,5.74956142817
40,3.31534770707,3.06802457117,2.86814998717,4.19138124117
50,3.31214952327,3.30801180867,2.59449317617,3.73973779817
60,3.05853981627,3.10191731517,2.66808086117,3.44505849317
70,2.72070087527,2.73164874617,2.54002154517,2.83269365417
80,2.62072510597,2.62515269467,2.36529386817,2.97473718717
90,2.84280894827,2.81315018817,2.15230128017,3.71023862317
100,2.94937009417,2.95367552867,1.88731003417,3.68511938917
